filename,width,height,class,xmin,ymin,xmax,ymax
668.jpg,225,225,nail,60,27,82,64
668.jpg,225,225,nail,85,61,105,97
668.jpg,225,225,nail,113,57,137,90
668.jpg,225,225,nail,162,34,180,60
668.jpg,225,225,nail,158,105,176,135
668.jpg,225,225,nail,132,97,154,133
668.jpg,225,225,nail,107,105,126,139
668.jpg,225,225,nail,73,117,93,150
668.jpg,225,225,nail,24,150,35,164
669.jpg,255,197,nail,205,32,234,71
669.jpg,255,197,nail,181,29,208,83
669.jpg,255,197,nail,155,39,177,93
669.jpg,255,197,nail,124,24,143,72
669.jpg,255,197,nail,113,32,121,50
669.jpg,255,197,nail,18,24,40,40
669.jpg,255,197,nail,49,40,102,69
669.jpg,255,197,nail,72,63,122,96
669.jpg,255,197,nail,81,81,126,121
669.jpg,255,197,nail,98,106,134,141
670.jpg,225,225,nail,123,25,156,70
670.jpg,225,225,nail,95,67,147,108
670.jpg,225,225,nail,51,54,95,102
670.jpg,225,225,nail,36,71,75,124
670.jpg,225,225,nail,39,124,70,176
672.jpg,226,223,nail,147,9,168,65
672.jpg,226,223,nail,149,76,167,121
672.jpg,226,223,nail,104,40,128,95
672.jpg,226,223,nail,64,30,88,81
672.jpg,226,223,nail,39,6,57,44
672.jpg,226,223,nail,56,94,74,144
672.jpg,226,223,nail,87,122,110,179
672.jpg,226,223,nail,116,113,139,169
673.jpg,275,183,nail,154,55,187,76
673.jpg,275,183,nail,182,62,220,84
673.jpg,275,183,nail,96,37,134,69
673.jpg,275,183,nail,94,65,138,96
673.jpg,275,183,nail,64,84,112,113
673.jpg,275,183,nail,3,95,40,121
673.jpg,275,183,nail,158,47,182,59
673.jpg,275,183,nail,90,7,113,24
674.jpg,232,217,nail,87,53,124,115
674.jpg,232,217,nail,33,53,73,108
674.jpg,232,217,nail,144,45,176,109
674.jpg,232,217,nail,176,55,203,101
674.jpg,232,217,nail,10,28,30,54
675.jpg,183,275,nail,15,50,39,73
675.jpg,183,275,nail,35,27,55,48
675.jpg,183,275,nail,53,41,75,61
675.jpg,183,275,nail,42,69,71,82
675.jpg,183,275,nail,40,85,62,100
675.jpg,183,275,nail,112,12,128,39
675.jpg,183,275,nail,141,3,159,29
675.jpg,183,275,nail,157,4,176,30
675.jpg,183,275,nail,129,51,150,76
675.jpg,183,275,nail,94,50,121,76
675.jpg,183,275,nail,90,61,104,83
675.jpg,183,275,nail,166,29,183,53
675.jpg,183,275,nail,150,163,176,200
675.jpg,183,275,nail,123,182,152,213
675.jpg,183,275,nail,145,220,183,250
675.jpg,183,275,nail,107,205,139,237
675.jpg,183,275,nail,100,240,128,265
675.jpg,183,275,nail,44,162,66,197
675.jpg,183,275,nail,20,150,38,188
675.jpg,183,275,nail,1,170,13,205
675.jpg,183,275,nail,80,200,92,230
675.jpg,183,275,nail,20,209,45,241
675.jpg,183,275,nail,44,210,70,244
675.jpg,183,275,nail,55,235,76,270
676.jpg,222,227,nail,110,1,158,66
676.jpg,222,227,nail,98,46,145,106
676.jpg,222,227,nail,72,67,122,125
676.jpg,222,227,nail,22,59,71,108
676.jpg,222,227,nail,150,130,176,196
676.jpg,222,227,nail,114,131,140,193
676.jpg,222,227,nail,82,133,109,198
676.jpg,222,227,nail,51,134,88,192
677.jpg,259,194,nail,136,33,161,64
677.jpg,259,194,nail,107,32,130,66
677.jpg,259,194,nail,81,43,106,76
677.jpg,259,194,nail,53,64,68,76
677.jpg,259,194,nail,141,85,178,114
677.jpg,259,194,nail,121,144,142,169
677.jpg,259,194,nail,98,130,120,159
677.jpg,259,194,nail,73,124,96,157
677.jpg,259,194,nail,59,106,81,140
677.jpg,259,194,nail,71,164,106,191
678.jpg,194,259,nail,99,108,121,123
678.jpg,194,259,nail,97,123,122,141
678.jpg,194,259,nail,90,136,115,150
678.jpg,194,259,nail,69,144,91,156
678.jpg,194,259,nail,70,80,89,88
679.jpg,357,141,nail,225,31,258,59
679.jpg,357,141,nail,247,47,279,76
679.jpg,357,141,nail,296,51,324,72
679.jpg,357,141,nail,290,88,308,113
679.jpg,357,141,nail,271,81,290,116
679.jpg,357,141,nail,252,82,271,116
679.jpg,357,141,nail,231,85,247,111
679.jpg,357,141,nail,77,38,105,61
679.jpg,357,141,nail,78,58,108,80
679.jpg,357,141,nail,87,73,112,92
679.jpg,357,141,nail,112,81,138,95
679.jpg,357,141,nail,59,87,77,119
679.jpg,357,141,nail,74,112,84,141
679.jpg,357,141,nail,38,90,57,124
679.jpg,357,141,nail,18,99,37,131
680.jpg,252,200,nail,191,31,207,53
680.jpg,252,200,nail,154,117,169,135
680.jpg,252,200,nail,127,120,144,146
680.jpg,252,200,nail,89,126,105,155
680.jpg,252,200,nail,57,105,70,130
680.jpg,252,200,nail,34,134,51,160
680.jpg,252,200,nail,57,155,77,182
680.jpg,252,200,nail,103,146,119,174
680.jpg,252,200,nail,38,65,47,84
680.jpg,252,200,nail,13,37,25,48
681.jpg,275,183,nail,95,23,113,51
681.jpg,275,183,nail,161,23,180,51
681.jpg,275,183,nail,224,23,241,52
681.jpg,275,183,nail,28,23,46,51
681.jpg,275,183,nail,28,102,46,129
681.jpg,275,183,nail,95,100,113,130
681.jpg,275,183,nail,162,101,177,129
681.jpg,275,183,nail,226,101,242,129
682.jpg,391,129,nail,34,61,52,76
682.jpg,391,129,nail,133,19,162,55
682.jpg,391,129,nail,156,10,180,47
682.jpg,391,129,nail,178,3,197,43
682.jpg,391,129,nail,201,2,221,45
682.jpg,391,129,nail,168,75,185,115
682.jpg,391,129,nail,184,78,204,117
682.jpg,391,129,nail,201,81,224,121
682.jpg,391,129,nail,217,89,243,125
682.jpg,391,129,nail,308,1,324,29
682.jpg,391,129,nail,320,15,337,39
682.jpg,391,129,nail,54,94,68,108
683.jpg,300,168,nail,38,26,64,54
683.jpg,300,168,nail,22,71,50,99
683.jpg,300,168,nail,55,96,81,122
683.jpg,300,168,nail,122,120,148,145
684.jpg,222,227,nail,91,88,118,125
684.jpg,222,227,nail,176,78,196,111
684.jpg,222,227,nail,191,141,217,187
684.jpg,222,227,nail,152,168,180,218
684.jpg,222,227,nail,88,155,111,199
684.jpg,222,227,nail,21,120,39,155
684.jpg,222,227,nail,34,80,61,116
684.jpg,222,227,nail,2,35,29,72
685.jpg,299,168,nail,150,78,213,146
685.jpg,299,168,nail,231,103,286,156
685.jpg,299,168,nail,115,104,177,168
685.jpg,299,168,nail,12,105,90,155
685.jpg,299,168,nail,69,1,110,81
685.jpg,299,168,nail,125,1,163,79
685.jpg,299,168,nail,176,1,210,72
685.jpg,299,168,nail,8,1,59,80
686.jpg,264,191,nail,79,1,100,35
686.jpg,264,191,nail,104,47,126,79
686.jpg,264,191,nail,126,65,151,100
686.jpg,264,191,nail,148,78,175,116
686.jpg,264,191,nail,111,114,139,149
686.jpg,264,191,nail,65,103,95,138
686.jpg,264,191,nail,46,133,75,166
686.jpg,264,191,nail,155,118,183,148
686.jpg,264,191,nail,177,145,202,169
687.jpg,225,225,nail,70,177,90,215
687.jpg,225,225,nail,125,179,148,216
687.jpg,225,225,nail,170,158,191,193
687.jpg,225,225,nail,201,122,219,156
687.jpg,225,225,nail,9,104,25,145
688.jpg,244,206,nail,128,15,181,67
688.jpg,244,206,nail,92,49,150,104
688.jpg,244,206,nail,93,111,158,163
688.jpg,244,206,nail,105,168,156,206
689.jpg,214,236,nail,48,72,70,112
689.jpg,214,236,nail,90,85,118,138
689.jpg,214,236,nail,69,121,92,170
689.jpg,214,236,nail,101,28,134,81
689.jpg,214,236,nail,135,5,162,64
689.jpg,214,236,nail,149,47,181,101
689.jpg,214,236,nail,121,105,156,159
689.jpg,214,236,nail,175,158,202,204
690.jpg,258,195,nail,113,19,146,82
690.jpg,258,195,nail,20,66,89,98
690.jpg,258,195,nail,11,99,84,134
690.jpg,258,195,nail,99,26,119,53
690.jpg,258,195,nail,194,26,242,101
690.jpg,258,195,nail,137,35,184,117
690.jpg,258,195,nail,28,127,118,161
690.jpg,258,195,nail,116,154,188,183
691.jpg,225,224,nail,130,43,140,66
691.jpg,225,224,nail,85,125,100,150
691.jpg,225,224,nail,62,141,80,165
691.jpg,225,224,nail,42,124,58,147
691.jpg,225,224,nail,15,86,30,106
691.jpg,225,224,nail,106,141,126,164
691.jpg,225,224,nail,109,170,132,195
691.jpg,225,224,nail,139,173,162,195
691.jpg,225,224,nail,182,169,203,187
691.jpg,225,224,nail,136,53,156,75
692.jpg,259,194,nail,112,59,130,71
692.jpg,259,194,nail,101,94,122,108
692.jpg,259,194,nail,122,104,145,118
692.jpg,259,194,nail,158,121,174,133
692.jpg,259,194,nail,57,63,80,74
692.jpg,259,194,nail,72,16,88,37
692.jpg,259,194,nail,49,26,56,38
695.jpg,224,225,nail,152,41,174,68
695.jpg,224,225,nail,132,66,154,96
695.jpg,224,225,nail,148,100,164,128
695.jpg,224,225,nail,94,128,118,159
695.jpg,224,225,nail,54,139,79,176
695.jpg,224,225,nail,34,120,55,151
695.jpg,224,225,nail,58,31,79,58
695.jpg,224,225,nail,35,25,48,52
695.jpg,224,225,nail,94,59,116,89
696.jpg,302,167,nail,185,8,206,33
696.jpg,302,167,nail,228,20,255,45
696.jpg,302,167,nail,192,49,211,76
696.jpg,302,167,nail,179,89,202,119
696.jpg,302,167,nail,158,135,181,162
696.jpg,302,167,nail,115,43,136,72
696.jpg,302,167,nail,52,35,82,66
698.jpg,318,159,nail,235,28,285,65
698.jpg,318,159,nail,226,60,278,94
698.jpg,318,159,nail,230,85,285,114
698.jpg,318,159,nail,251,99,302,124
698.jpg,318,159,nail,169,32,182,48
698.jpg,318,159,nail,135,15,152,33
698.jpg,318,159,nail,112,13,130,34
698.jpg,318,159,nail,106,31,118,47
698.jpg,318,159,nail,112,89,126,106
698.jpg,318,159,nail,66,45,89,71
698.jpg,318,159,nail,31,64,55,94
698.jpg,318,159,nail,10,62,31,90
698.jpg,318,159,nail,1,38,17,62
699.jpg,225,224,nail,44,35,78,59
699.jpg,225,224,nail,36,64,72,86
699.jpg,225,224,nail,53,81,90,100
699.jpg,225,224,nail,116,89,145,105
699.jpg,225,224,nail,136,139,158,174
699.jpg,225,224,nail,111,114,131,159
699.jpg,225,224,nail,79,112,109,163
699.jpg,225,224,nail,49,120,80,164
700.jpg,310,163,nail,210,16,228,47
700.jpg,310,163,nail,220,31,242,63
700.jpg,310,163,nail,236,42,260,71
700.jpg,310,163,nail,264,39,288,61
700.jpg,310,163,nail,287,81,304,107
700.jpg,310,163,nail,265,73,281,105
700.jpg,310,163,nail,249,67,263,103
700.jpg,310,163,nail,225,77,239,111
700.jpg,310,163,nail,114,40,136,73
700.jpg,310,163,nail,137,63,155,107
700.jpg,310,163,nail,147,90,174,123
700.jpg,310,163,nail,149,121,175,146
700.jpg,310,163,nail,7,67,33,87
700.jpg,310,163,nail,2,87,29,104
700.jpg,310,163,nail,2,103,35,116
700.jpg,310,163,nail,14,116,40,127
700.jpg,310,163,nail,64,29,86,36
701.jpg,195,259,nail,104,53,182,101
701.jpg,195,259,nail,108,100,187,143
701.jpg,195,259,nail,106,142,185,175
701.jpg,195,259,nail,105,178,174,203
701.jpg,195,259,nail,1,177,25,246
701.jpg,195,259,nail,47,1,132,23
702.jpg,225,225,nail,176,109,213,168
702.jpg,225,225,nail,93,45,133,88
702.jpg,225,225,nail,172,19,197,57
702.jpg,225,225,nail,90,138,128,186
702.jpg,225,225,nail,27,102,58,141
702.jpg,225,225,nail,12,18,44,67
702.jpg,225,225,nail,30,49,74,97
702.jpg,225,225,nail,144,144,187,203
703.jpg,268,188,nail,210,94,231,142
703.jpg,268,188,nail,178,100,218,167
703.jpg,268,188,nail,117,92,163,156
703.jpg,268,188,nail,76,105,109,159
703.jpg,268,188,nail,29,112,60,154
704.jpg,224,225,nail,116,12,137,32
704.jpg,224,225,nail,172,41,189,59
704.jpg,224,225,nail,177,89,193,114
704.jpg,224,225,nail,165,109,181,137
704.jpg,224,225,nail,54,139,86,168
704.jpg,224,225,nail,76,92,91,111
704.jpg,224,225,nail,72,47,92,71
704.jpg,224,225,nail,90,19,110,40
705.jpg,225,225,nail,165,7,205,50
705.jpg,225,225,nail,166,56,206,94
705.jpg,225,225,nail,125,66,173,103
705.jpg,225,225,nail,51,67,86,94
705.jpg,225,225,nail,101,120,130,169
705.jpg,225,225,nail,138,135,169,183
705.jpg,225,225,nail,71,133,98,179
705.jpg,225,225,nail,34,176,59,220
706.jpg,225,225,nail,110,65,136,86
706.jpg,225,225,nail,147,20,164,48
706.jpg,225,225,nail,115,8,132,33
706.jpg,225,225,nail,55,51,84,76
